test,spec,term,estimate,std_error,p_value,df,ci_low,ci_high,n_obs,n_firms,treated_firms,control_firms,error,draw
R2,draw_1,pseudo,-0.010584062000236153,0.008263581390898528,0.20108788898404187,359,-0.026835171067831554,0.005667047067359248,3240,360,151,209,,1
R2,draw_2,pseudo,-0.012639835610419104,0.008186967897592377,0.12349428020641558,359,-0.02874027704652738,0.0034606058256891736,3240,360,151,209,,2
R2,draw_3,pseudo,-0.007146501707805476,0.008343497239859485,0.3922730012799285,359,-0.023554772799499097,0.009261769383888143,3240,360,151,209,,3
R2,draw_4,pseudo,-0.0029766393197192434,0.008337086758709943,0.7212747020596602,359,-0.019372303598046,0.013419024958607511,3240,360,151,209,,4
R2,draw_5,pseudo,0.002833842281218623,0.00832108363362313,0.7336327751976763,359,-0.013530350348327056,0.019198034910764303,3240,360,151,209,,5
R2,draw_6,pseudo,-0.004978450340451812,0.00819056121805359,0.5436860348062529,359,-0.02108595837879557,0.011129057697891947,3240,360,151,209,,6
R2,draw_7,pseudo,-0.013181839835050885,0.00826141512803325,0.11146002903067623,359,-0.02942868874322782,0.003065009073126049,3240,360,151,209,,7
R2,draw_8,pseudo,0.01794886167235466,0.008184644127558401,0.02894896023513282,359,0.0018529901483079689,0.034044733196401354,3240,360,151,209,,8
R2,draw_9,pseudo,-0.002841045526231343,0.008082503716957387,0.7254152654537012,359,-0.018736048337988927,0.01305395728552624,3240,360,151,209,,9
R2,draw_10,pseudo,-0.014009823630059964,0.008219892642410853,0.08917527333710365,359,-0.030175014669730823,0.0021553674096108956,3240,360,151,209,,10
R2,draw_11,pseudo,-0.016658451946636843,0.00813419519601601,0.04129166806343332,359,-0.03265511090774538,-0.0006617929855283027,3240,360,151,209,,11
R2,draw_12,pseudo,0.002057807844067292,0.008325023617511756,0.8049075705366308,359,-0.014314133133908667,0.01842974882204325,3240,360,151,209,,12
R2,draw_13,pseudo,0.003153073707870391,0.008277869349107127,0.7034997712638446,359,-0.013126133971721129,0.01943228138746191,3240,360,151,209,,13
R2,draw_14,pseudo,0.000669937194289153,0.008328850379921558,0.9359355279296002,359,-0.0157095294714432,0.017049403860021507,3240,360,151,209,,14
R2,draw_15,pseudo,-0.005924075904831214,0.008368625462278087,0.4794721789841235,359,-0.02238176400640015,0.010533612196737721,3240,360,151,209,,15
R2,draw_16,pseudo,-0.010340879399102835,0.008344644373269075,0.2160722771515384,359,-0.026751406436405566,0.006069647638199897,3240,360,151,209,,16
R2,draw_17,pseudo,0.011979356403067801,0.008322300081871369,0.15090049552144866,359,-0.004387228486228474,0.028345941292364077,3240,360,151,209,,17
R2,draw_18,pseudo,0.002565549085772744,0.008443129301736657,0.7614088022261175,359,-0.014038657814815874,0.01916975598636136,3240,360,151,209,,18
R2,draw_19,pseudo,0.011152397350391679,0.008245986251658241,0.17707827832985476,359,-0.0050641092230395875,0.027368903923822945,3240,360,151,209,,19
R2,draw_20,pseudo,-0.0023478140034425238,0.008372833750305028,0.7793256088564483,359,-0.018813778098733625,0.014118150091848577,3240,360,151,209,,20
R2,draw_21,pseudo,-0.009648232761055356,0.008123388990406639,0.2357327749310871,359,-0.02562364030372223,0.006327174781611522,3240,360,151,209,,21
R2,draw_22,pseudo,0.009016469975850162,0.00836091090216252,0.28157593830844496,359,-0.007426046718562949,0.02545898667026327,3240,360,151,209,,22
R2,draw_23,pseudo,0.003820099239794347,0.008320734362061403,0.6464358847793821,359,-0.012543406514415406,0.020183604994004102,3240,360,151,209,,23
R2,draw_24,pseudo,0.01448498748067903,0.008248617280738032,0.07993250000697573,359,-0.0017366932585906412,0.030706668219948705,3240,360,151,209,,24
R2,draw_25,pseudo,-0.010460849514041325,0.008256051893159805,0.2059579307022905,359,-0.026697151117029316,0.005775452088946666,3240,360,151,209,,25
