test,spec,term,estimate,std_error,p_value,df,ci_low,ci_high,n_obs,n_firms,treated_firms,control_firms,p_holm
baseline,firm_cluster,digital,0.12091953763494402,0.004723359854126347,5.55886571700504e-83,359,0.11163060677992132,0.13020846848996673,3240,360,151,209,
R3,log_labor_productivity,digital,0.1205339434342859,0.005261080257719055,3.143023426882501e-72,359,0.1101875348933435,0.13088035197522832,3240,360,151,209,
R4,no_controls,digital,0.12090781534821209,0.004723578008173593,5.746791093588249e-83,359,0.11161845547276257,0.13019717522366162,3240,360,151,209,
R4,full_controls_absorbed,digital,0.12091953763494402,0.004723359854126347,5.55886571700504e-83,359,0.11163060677992132,0.13020846848996673,3240,360,151,209,
R4,add_firm_size,digital,0.12082199884789813,0.004806464749773322,3.750586141844569e-81,359,0.11136963440889722,0.13027436328689904,3240,360,151,209,
R5,industry,digital,0.12091953763494402,0.0019011542614661217,8.563415923191683e-06,3,0.11486921627976679,0.12696985899012125,3240,360,151,209,
R5,province,digital,0.12091953763494402,0.0032485222950201106,0.0007209562135160919,2,0.10694227431462376,0.1348968009552643,3240,360,151,209,
R5,firm_id+year,digital,0.12091953763494402,0.02629647640432093,0.0017593194330122568,8,0.06027975430528118,0.18155932096460686,3240,360,151,209,
R6,winsor_1_99,digital,0.11698698783246238,0.005233959314399775,5.829631189765264e-70,359,0.10669391517423822,0.12728006049068655,3240,360,151,209,
R7,drop_electronics,digital,0.120381906629043,0.005620056866245955,1.3486472403974395e-59,263,0.10931587430464812,0.13144793895343787,2376,264,110,154,
R7,trim_size_firms_5_95,digital,0.1209543332006663,0.005006273090298512,2.2142522873183806e-74,323,0.11110531389010142,0.13080335251123118,2916,324,135,189,
R7,window_2018_2022,digital,0.08147111811885066,0.006415513249291759,8.967737387819282e-31,359,0.06885440865512173,0.0940878275825796,1800,360,151,209,
T1,minmax_capability_proxy,intensity,0.17087860300546617,0.007426821251373814,1.2631777263151545e-72,359,0.15627306135562619,0.18548414465530616,3240,360,151,209,
T2,industry_group0,digital,0.12491594751819346,0.009812527534793848,5.05934937771628e-21,81,0.10539209568366986,0.14443979935271706,738,82,35,47,
T2,industry_group1,digital,0.12354072903279492,0.008711021067014515,3.468421567024857e-25,95,0.10624716571794682,0.14083429234764303,864,96,41,55,
T2,industry_difference,diff,-0.0013752184853987864,0.013085752494321595,0.9164211636542311,177,-0.02719939098359181,0.024448954012794233,1602,178,76,102,1.0
T2,ownership_group0,digital,0.12243354312040666,0.005319470422904706,9.732727647894913e-68,294,0.1119644758958739,0.13290261034493944,2655,295,120,175,
T2,ownership_group1,digital,0.11373031476400604,0.010252968114783436,1.5151158308464255e-16,64,0.09324765631632939,0.13421297321168268,585,65,31,34,
T2,ownership_difference,diff,-0.008703228356401029,0.011446068260762141,0.44753349969768846,359,-0.0312129968092972,0.013806540096495143,3240,360,151,209,1.0
T2,size_group0,digital,0.12270846351648963,0.0071389789050017504,9.72790596809896e-40,179,0.10862107765117002,0.13679584938180925,1620,180,64,116,
T2,size_group1,digital,0.12015408343413383,0.006486314522726379,1.7892119092491708e-43,179,0.107354603740833,0.13295356312743467,1620,180,87,93,
T2,size_difference,diff,-0.0025543800823557895,0.009633628184428275,0.7910442079391611,359,-0.021499814868565593,0.016391054703854012,3240,360,151,209,1.0
T3,capability_interaction,interaction,0.0025279726484820223,0.004044746011068982,0.5323670677008322,359,-0.0054264003366984665,0.010482345633662512,3240,360,151,209,
T3,digital_at_mean_capability,digital,0.11948597441700114,0.005267624392676354,2.623946843895187e-71,359,0.10912669621992377,0.1298452526140785,3240,360,151,209,
T4,industry_year,digital,0.120609341887857,0.004705305219666572,4.146674918108881e-83,359,0.11135591716751152,0.1298627666082025,3240,360,151,209,
T4,industry_province_year,digital,0.1209128382022304,0.004692845117578743,1.2451978247481194e-83,359,0.1116839174431148,0.130141758961346,3240,360,151,209,
T5,drop_chemicals,digital,0.12111249565579746,0.005305469693465444,5.5609001500656636e-67,293,0.11067083548867568,0.13155415582291924,2646,294,126,168,
T5,drop_electronics,digital,0.120381906629043,0.005620056866245955,1.3486472403974395e-59,263,0.10931587430464812,0.13144793895343787,2376,264,110,154,
T5,drop_machinery,digital,0.12256486801520822,0.005469693033820016,4.6702382382067075e-61,243,0.1117908067263455,0.13333892930407093,2196,244,101,143,
T5,drop_textile,digital,0.1197749434633999,0.005399707623862973,2.273665314283442e-63,277,0.10914526777417094,0.13040461915262885,2502,278,116,162,
