draw,estimate,std_error,p_value,n_obs,error
1,-0.010584062000236153,0.008263581390898528,0.20108788898404187,3240,
2,-0.012639835610419104,0.008186967897592377,0.12349428020641558,3240,
3,-0.007146501707805476,0.008343497239859485,0.3922730012799285,3240,
4,-0.0029766393197192434,0.008337086758709943,0.7212747020596602,3240,
5,0.002833842281218623,0.00832108363362313,0.7336327751976763,3240,
6,-0.004978450340451812,0.00819056121805359,0.5436860348062529,3240,
7,-0.013181839835050885,0.00826141512803325,0.11146002903067623,3240,
8,0.01794886167235466,0.008184644127558401,0.02894896023513282,3240,
9,-0.002841045526231343,0.008082503716957387,0.7254152654537012,3240,
10,-0.014009823630059964,0.008219892642410853,0.08917527333710365,3240,
11,-0.016658451946636843,0.00813419519601601,0.04129166806343332,3240,
12,0.002057807844067292,0.008325023617511756,0.8049075705366308,3240,
13,0.003153073707870391,0.008277869349107127,0.7034997712638446,3240,
14,0.000669937194289153,0.008328850379921558,0.9359355279296002,3240,
15,-0.005924075904831214,0.008368625462278087,0.4794721789841235,3240,
16,-0.010340879399102835,0.008344644373269075,0.2160722771515384,3240,
17,0.011979356403067801,0.008322300081871369,0.15090049552144866,3240,
18,0.002565549085772744,0.008443129301736657,0.7614088022261175,3240,
19,0.011152397350391679,0.008245986251658241,0.17707827832985476,3240,
20,-0.0023478140034425238,0.008372833750305028,0.7793256088564483,3240,
21,-0.009648232761055356,0.008123388990406639,0.2357327749310871,3240,
22,0.009016469975850162,0.00836091090216252,0.28157593830844496,3240,
23,0.003820099239794347,0.008320734362061403,0.6464358847793821,3240,
24,0.01448498748067903,0.008248617280738032,0.07993250000697573,3240,
25,-0.010460849514041325,0.008256051893159805,0.2059579307022905,3240,
26,0.005966434916451517,0.008381770869955195,0.47702948217744656,3240,
27,-0.013287562482694061,0.008200055125995637,0.10601932239695265,3240,
28,-0.0037488720858278586,0.008192767745283748,0.6475287888937266,3240,
29,-0.008733582134343634,0.008130990754718985,0.28349458996287574,3240,
30,0.013670330320941185,0.008236603480017318,0.09784707900723341,3240,
31,0.0181261830286571,0.00809757458925649,0.02580278287326943,3240,
32,-0.005686929271250007,0.008126006895815743,0.4844785761110158,3240,
33,-0.007017167880639599,0.00831810911723875,0.399453968442039,3240,
34,-0.0026171683365391785,0.008427607386632705,0.7563252265816659,3240,
35,0.011951662104232624,0.00833084616244496,0.15226376735043937,3240,
36,0.006582860472532201,0.00825354656213875,0.4256417028523783,3240,
37,-0.01241492309889158,0.008260139682410364,0.13372026040194646,3240,
38,-0.004698701472394332,0.008231256727229234,0.5684676401361916,3240,
39,0.016542773597769726,0.008110870392216482,0.042123840100170167,3240,
40,0.007040006080719102,0.00832518000370491,0.3983235047075938,3240,
41,0.0065951303809333025,0.008287089764067933,0.42665564719415655,3240,
42,0.009612613308041022,0.008436162521560802,0.25527383137218007,3240,
43,0.01853940363449985,0.008401916797287202,0.02797676914052692,3240,
44,0.003955751077818342,0.008307807678837853,0.6342581476942639,3240,
45,0.0023033768389454164,0.008292197424037202,0.7813438990079634,3240,
46,-0.0051680128780081285,0.008323319388179472,0.5350543755279127,3240,
47,-0.010827705927366071,0.0082394927209836,0.18964389442202412,3240,
48,0.003330536474613441,0.008137640267811145,0.6825815906699115,3240,
49,-0.013861246959014738,0.008188223208865746,0.09135591411375102,3240,
50,-0.007715655189024618,0.008128348372423554,0.34314325952792607,3240,
51,-0.009230411838220137,0.008229960687455367,0.2627983039945062,3240,
52,0.004677652196139759,0.008175533008530113,0.5675767152127636,3240,
53,-0.009724625106754127,0.00832050753600344,0.2432783135498338,3240,
54,-0.013186071558830044,0.008229791092995474,0.1099827994837288,3240,
55,-0.0059070493991722995,0.008152709986668368,0.46919982543414473,3240,
56,0.0016098735813856403,0.008225508689431048,0.8449422462911889,3240,
57,-0.0029037634562029953,0.008406366587896407,0.7299777061231956,3240,
58,-0.0009305594077315554,0.008337809835871549,0.9111972550692832,3240,
59,-0.0040518288249649405,0.008123297471454845,0.6182320082160276,3240,
60,0.006525464425160519,0.00830846224717051,0.43273723104788114,3240,
61,-0.00483510022908993,0.008372351373261746,0.5639583167297241,3240,
62,-0.009116306379504871,0.008258944769301942,0.2704148495246748,3240,
63,-0.004497275728284139,0.008330329400281623,0.5896229886109863,3240,
64,-0.007002134978884518,0.008279093478630137,0.39824940021756466,3240,
65,0.0033577726243333135,0.008163251121723617,0.6810775827389501,3240,
66,0.0054177622175874945,0.008301652009364988,0.514423763933412,3240,
67,0.0014613746866477479,0.008079456515636217,0.8565674691134122,3240,
68,-0.004595107863685143,0.008292835394880111,0.5798514496685664,3240,
69,0.005474331361037049,0.008258066794362112,0.5078154258341849,3240,
70,0.0042486626816442665,0.00824220973094272,0.6065375980389454,3240,
71,0.003777280414941219,0.008165682580346759,0.6439457823780823,3240,
72,-0.0029930422213417583,0.00827050657648236,0.7176445653082676,3240,
73,-0.0015785148386457289,0.008368779621215287,0.8504976455330784,3240,
74,-0.006883975690095203,0.008134456710099094,0.3979638868399192,3240,
75,0.00038555639805639715,0.008360321173162195,0.9632423083464847,3240,
76,0.005585697744063216,0.00830172743476677,0.5014847457551365,3240,
77,-0.011248561522530265,0.008177998422298858,0.16984454038320876,3240,
78,-0.0019361437995563278,0.008259894091312074,0.8148057699465758,3240,
79,-0.015127841983505821,0.008187514413971586,0.06547224999165006,3240,
80,-0.00439843205671695,0.008354926008674908,0.59890223468348,3240,
81,0.007498263538778879,0.008253209882247257,0.3642093755244959,3240,
82,-0.0105977075703491,0.008273156986033451,0.20102931108292518,3240,
83,-0.006771147224893552,0.008322776125523236,0.41643153400370003,3240,
84,0.007701194150283198,0.008203882011445746,0.348502772271361,3240,
85,0.001701055016047669,0.008440912837479565,0.8404022155235807,3240,
86,0.0047551800170007414,0.008350855166832713,0.5694243239322863,3240,
87,-0.0032082844816593396,0.008244039836482362,0.6973854763349643,3240,
88,0.00022113416300418068,0.008484381151939386,0.9792210310265923,3240,
89,-0.006104005619132808,0.008372764026105648,0.46645795261200435,3240,
90,0.00812999545383934,0.0083100299886409,0.3285673347793154,3240,
91,0.004462155144485097,0.008240538105951871,0.5885069212744918,3240,
92,0.0036160677471314324,0.008398453327450288,0.6670441351599213,3240,
93,-0.006309187624155522,0.008308351640383954,0.44812421224885834,3240,
94,0.011499814509902409,0.008249803983804661,0.16419488972566032,3240,
95,0.008460769750890018,0.008261107049018503,0.3064450698620424,3240,
96,-0.014303645437000292,0.008179083900742309,0.08117890846192193,3240,
97,0.02091013996137009,0.008123334394360665,0.010450888922058955,3240,
98,-0.00013328088915338273,0.008253871232425075,0.9871255437797721,3240,
99,-0.00989430160113587,0.008162095880869758,0.22622321076931187,3240,
100,-0.004990373851489183,0.00819276929207614,0.5428306327467818,3240,
101,-0.0031003880101366163,0.008305052386798874,0.7091354826978808,3240,
102,0.0034286310588191927,0.00828939022610457,0.6794017387559403,3240,
103,0.004051828073676071,0.008418201469467621,0.6305840664864062,3240,
104,-0.006148569007146842,0.008383409673314999,0.46378033176748673,3240,
105,0.011144902845715992,0.008220055623224736,0.1760091871868838,3240,
106,0.01911369332868705,0.008161943573404145,0.019736779798011105,3240,
107,0.01284512893126311,0.008313101161728665,0.12318691839112596,3240,
108,-0.0028250245696037025,0.008371333555343623,0.7359642911564337,3240,
109,0.004743992882602534,0.008339426274377866,0.5698046654860687,3240,
110,0.0037422932531660244,0.0083680810289683,0.6549928124857689,3240,
111,0.0010634099408347944,0.008338408204416104,0.8985911253760581,3240,
112,-0.008702788527763001,0.008248557935666886,0.29210380334981645,3240,
113,0.011478847959133577,0.008256998712558276,0.16533062309832078,3240,
114,0.003798811516946787,0.00835367698765133,0.6495659493308509,3240,
115,0.0022258730818734917,0.008315248820909095,0.789094994603287,3240,
116,0.008218140515474669,0.008312284926408451,0.32348851260768824,3240,
117,-0.0024524493431216004,0.008192022644388711,0.7648306609108516,3240,
118,0.012573632196085248,0.008275607038351354,0.12955189978323706,3240,
119,-0.004537575121917366,0.008376491659168829,0.5883587866747924,3240,
120,-0.0023323181147616033,0.008377123310245038,0.780853975354018,3240,
121,-0.0015966264125119292,0.008317173993732057,0.8478762632600993,3240,
122,0.010618552120580894,0.008384269291914541,0.2061605700233793,3240,
123,0.005045155207326781,0.008425341522341439,0.5496791038584492,3240,
124,0.009133999506985012,0.008400002547075574,0.2775981636448704,3240,
125,-0.004727104966934732,0.008272906366615521,0.5680888365837952,3240,
126,-0.0038720651513232487,0.008217915655326674,0.63780293449285,3240,
127,-0.002274824095852134,0.008239519364804012,0.7826401159944134,3240,
128,0.004890233560584235,0.008252801265491421,0.5538524576296865,3240,
129,0.0022653139597117126,0.008277852539896786,0.784503589645762,3240,
130,-0.0006251648259792065,0.008355657480905256,0.9404001223984587,3240,
131,0.0028265442794242757,0.00823823772765066,0.7317236040360235,3240,
132,0.0035476854871972323,0.00836723618301697,0.6718217295855677,3240,
133,-0.010662677378003289,0.008212650445491427,0.19500960492165426,3240,
134,0.0031099408210608164,0.008275460214945931,0.7072854959660986,3240,
135,0.002128936778129624,0.008368925215535993,0.7993430703547402,3240,
136,0.008681829549335378,0.008300985809903365,0.2963204242323906,3240,
137,-0.008161410963123186,0.008168318981599906,0.3183929283983633,3240,
138,0.008016888036959657,0.008188088551412662,0.32819408725293603,3240,
139,-0.0023283331482224774,0.008322850752377816,0.7798289838011842,3240,
140,0.0029593220630074065,0.008286759817742234,0.7212159187933322,3240,
141,-0.006724643369504297,0.008329823109327549,0.42002978220292314,3240,
142,-0.011340162091788389,0.008191546642942667,0.16710393194550346,3240,
143,-0.007944536890436848,0.008381540072960297,0.3438376947050864,3240,
144,-0.007850390399437142,0.008200421278861116,0.33905226273715433,3240,
145,-0.0030352210730477734,0.008146041024806589,0.7096654806574278,3240,
146,-0.006604081038065373,0.008258756319180598,0.42444473246703324,3240,
147,-0.013228897204216326,0.008202447180700663,0.10766689564098915,3240,
148,0.00135519569559993,0.008321402362289817,0.8707229365856778,3240,
149,0.01779951560718694,0.008205252977618895,0.03071692258561618,3240,
150,0.008035501236553198,0.008194937916132872,0.32747774014243036,3240,
151,-0.001656147414521156,0.008361804114265138,0.8431094296853442,3240,
152,-0.0116659595885581,0.008298869192140986,0.1606695192112008,3240,
153,0.006257779219939704,0.008306817393471654,0.4517450598207304,3240,
154,-0.008506133117192012,0.00836690628764777,0.31000928342644896,3240,
155,-0.009446962967302313,0.00830301219294338,0.2559730504764744,3240,
156,-0.016166284513930092,0.008195522680480915,0.049310961654243285,3240,
157,-0.0046279976488397415,0.008358380887102246,0.5801319595332768,3240,
158,0.006816844356385751,0.008329720212817913,0.41368530584305147,3240,
159,-0.0069208668252972215,0.008229235153002971,0.4009022968862355,3240,
160,-0.0019247399260055038,0.00831907903369385,0.8171634175749033,3240,
161,-0.0023942447170340214,0.008122662303295778,0.768346776096615,3240,
162,-0.0025788470259668693,0.008135198569849776,0.7514288861870989,3240,
163,0.0173274486495078,0.008142472605376126,0.034015142278792175,3240,
164,0.00495951235067146,0.008180393336929565,0.5447198256721122,3240,
165,0.01270939536931005,0.008213994114273562,0.12267542810414185,3240,
166,-0.0014019412188048734,0.008329931593474817,0.8664407532029096,3240,
167,0.01303243915945456,0.008244510430469547,0.1148177828574716,3240,
168,-0.005224836854458143,0.008387941996538256,0.5337466780607989,3240,
169,-0.004415016732068944,0.008391423371197006,0.5991196792128591,3240,
170,0.007622053689951124,0.008268232083027816,0.35722692418590474,3240,
171,-0.013131680769987652,0.008275379270653563,0.11342984661024352,3240,
172,0.0035440750761376993,0.008382551881875162,0.672700224504065,3240,
173,0.005196236857102298,0.008418794497950235,0.5374817899335472,3240,
174,0.009617137441115519,0.008352938744465948,0.25035540838332976,3240,
175,-0.014234058872287625,0.008110973691691264,0.08012707497852076,3240,
176,0.008589156804716055,0.008385795780617274,0.3064065649316871,3240,
177,-0.014092243592502355,0.008336459496065946,0.09181275785168944,3240,
178,0.0101245122261714,0.008353915837745939,0.22632930318005723,3240,
179,-0.009215841111509828,0.0082644279539318,0.26554428591288787,3240,
180,0.011819101740770629,0.008174861341789075,0.14910957723695942,3240,
181,-0.0022602139580797987,0.008272760503379165,0.7848476813256711,3240,
182,0.008918745695375865,0.008308025248256884,0.2837635266757689,3240,
183,-0.006588614757609295,0.008103425924965053,0.41671947621765093,3240,
184,-0.005719159733556747,0.008230741244631133,0.4875965530407505,3240,
185,-0.00017585623024039742,0.008404189414358552,0.9833172448553089,3240,
186,-0.009753616440292942,0.008268270484116862,0.23892292036560903,3240,
187,-0.0007307267580253706,0.008307739487950992,0.9299596161512246,3240,
188,0.002685631187222635,0.008269089574134518,0.7455370949550739,3240,
189,0.010500658790323043,0.008297003199624921,0.20647830124793434,3240,
190,0.002723036153537833,0.008406425742183333,0.7461848251863648,3240,
191,-0.007005591821828778,0.008311148501459134,0.3998372119230332,3240,
192,-0.0031740820156808884,0.008162021389537614,0.6975922789162949,3240,
193,-0.001280404464799275,0.00828349957249496,0.877244906267604,3240,
194,0.006844409938836285,0.008317150466589814,0.4110956384837959,3240,
195,-0.005390394728027871,0.008182963242515646,0.5104889612958673,3240,
196,-0.007198318205332832,0.008109940376531337,0.37535451294904865,3240,
197,-0.012158245709258083,0.008307670317966415,0.14420658905058623,3240,
198,-0.0015123818654483642,0.008351790006635766,0.8564032378403884,3240,
199,-0.003533873628261705,0.008261340740453767,0.6690821200861481,3240,
200,0.012997775938064999,0.008403406783501308,0.12281014158134156,3240,
201,-0.005519088070971573,0.008242795363001633,0.503565467178515,3240,
202,-0.0037137417865138063,0.00835137506775251,0.6568144659084069,3240,
203,0.008157147010311352,0.008214085446671706,0.32134558290810383,3240,
204,0.015007313464526766,0.00840515255767787,0.07502597180772741,3240,
205,-0.004661739898666328,0.008331990770188997,0.5761701530185773,3240,
206,0.006234208791736932,0.008453504047554393,0.461318080760196,3240,
207,0.0006373965600293754,0.008330786117952833,0.9390552042986015,3240,
208,0.01488933897059075,0.008110989754865254,0.06722908288758178,3240,
209,0.00011594711144157874,0.008315386132812085,0.9888826563840702,3240,
210,-0.011097841156321323,0.00815832181725556,0.17458557966858815,3240,
211,-0.001553824106558012,0.008316897173136639,0.8519015126940015,3240,
212,-0.0018681614648652877,0.008368929027702122,0.8234866796515168,3240,
213,-0.010858973913467325,0.008272595096909719,0.19014139901198812,3240,
214,-0.009880780067766692,0.008342880279862783,0.23706327939991034,3240,
215,0.00043218144901681024,0.008165423148655157,0.9578185256128301,3240,
216,0.0012401507523542177,0.008279095063101614,0.8810120246909481,3240,
217,-0.004857069578022682,0.00832002643794566,0.5597345678998823,3240,
218,-0.0008175566557582148,0.008316046878051833,0.9217404237228551,3240,
219,-0.002684198754984024,0.008267660808388914,0.7456256782427569,3240,
220,0.00031721308249978684,0.008298327420378997,0.9695286216215889,3240,
221,0.007265699259447266,0.008359133597636185,0.38532238208182706,3240,
222,0.005805168096591177,0.00820003407713199,0.47943915743175963,3240,
223,-0.002866373902212842,0.008312175162129832,0.7304162857469925,3240,
224,-0.004086672661535231,0.008371085265787954,0.6257139357146445,3240,
225,-0.0008086172085332107,0.008224262010280816,0.9217323203632605,3240,
226,0.0038292948092347595,0.008417580811221737,0.6494444191844551,3240,
227,0.002190088658751409,0.008386369565533293,0.794127661816947,3240,
228,-0.003883129428272507,0.008267819327800753,0.6388774407256735,3240,
229,-0.004323255233349622,0.008240638754220745,0.600166842332327,3240,
230,0.0021302777296194784,0.008293173244510994,0.7974253209618117,3240,
231,0.003710400321285925,0.008463703309632859,0.6613674958226642,3240,
232,0.002590906778621089,0.008240051059990261,0.7533782738561984,3240,
233,0.001369900360717009,0.008310501730910174,0.8691629551614434,3240,
234,0.006512867601943266,0.008341382011255682,0.43544055771725926,3240,
235,-0.005705560790146479,0.008353862759528444,0.4950569904485955,3240,
236,-0.00385751997787271,0.00826500918965259,0.6409768447684163,3240,
237,-0.004066902901303727,0.008163070973310833,0.6186428900499317,3240,
238,0.011387260935041247,0.008176893290583374,0.16459824814251725,3240,
239,0.003268363996742912,0.008308765833379552,0.6942846331805277,3240,
240,0.0021056778077844897,0.008292174246267466,0.7996907255759305,3240,
241,0.013658145186420244,0.008242073331095433,0.09836782471022748,3240,
242,-0.005031076661014925,0.008226261174283786,0.5411979491663242,3240,
243,-0.0001375215630089744,0.008288484032651453,0.9867714165416979,3240,
244,-0.002660334107482774,0.008233445372815965,0.7467977038337934,3240,
245,0.005153630548729656,0.00813399486778395,0.5267508505554855,3240,
246,0.010747031038230473,0.008337815567241252,0.19824525215722838,3240,
247,0.001398686841433083,0.008345539062858053,0.8669947444113726,3240,
248,0.0044499049958246755,0.008333469328914416,0.5936859339142229,3240,
249,-0.0037935979661800545,0.008443128422632456,0.6534778137276459,3240,
